product_id,product_name,category,brand,list_price,sale_price,weight_dimensions,employee_id,create_date,modify_date
P00000,Product_0,食品,Brand_G,3276.46,2883.5,3317g,EMP0007,2025-06-28,
P00001,Product_1,服飾,Brand_J,944.69,823.6,58x44x90cm,EMP0004,2025-05-06,2025-06-27
P00002,Product_2,家居,Brand_C,4374.73,3167.04,32x14x61cm,EMP0005,2025-01-06,
P00003,Product_3,服飾,Brand_I,3104.27,2888.97,915g,EMP0006,2025-05-03,
P00004,Product_4,食品,Brand_J,870.3,732.9,4143g,EMP0009,2024-09-06,
P00005,Product_5,3C,Brand_G,4815.46,3808.7,1664g,EMP0006,2024-11-09,
P00006,Product_6,美妝,Brand_E,2639.99,2347.31,238g,EMP0006,2024-09-27,
P00007,Product_7,家居,Brand_A,457.2,349.46,55x21x17cm,EMP0001,2025-01-16,
P00008,Product_8,3C,Brand_I,3171.48,2769.9,998g,EMP0008,2025-01-02,
P00009,Product_9,服飾,Brand_H,1340.67,951.78,53x32x61cm,EMP0004,2024-07-05,
P00010,Product_10,圖書,Brand_G,4038.1,3674.07,73x36x39cm,EMP0001,2025-04-14,
P00011,Product_11,服飾,Brand_D,4107.33,3335.33,3353g,EMP0009,2025-05-25,
P00012,Product_12,家居,Brand_A,4896.84,4207.23,40x51x11cm,EMP0001,2025-06-22,
P00013,Product_13,美妝,Brand_E,2559.16,1932.96,3378g,EMP0001,2024-10-09,2025-03-09
P00014,Product_14,服飾,Brand_J,2329.29,2024.78,90x21x37cm,EMP0001,2025-02-03,
P00015,Product_15,圖書,Brand_E,3792.03,3386.51,21x62x36cm,EMP0007,2025-01-15,2025-07-27
P00016,Product_16,食品,Brand_G,749.11,613.0,51x12x40cm,EMP0008,2024-07-31,
P00017,Product_17,食品,Brand_C,2779.89,2375.23,71x10x27cm,EMP0008,2025-01-22,
P00018,Product_18,家居,Brand_A,2776.61,2260.39,71x57x61cm,EMP0004,2024-09-26,
P00019,Product_19,美妝,Brand_I,538.42,497.24,96x22x32cm,EMP0004,2024-09-17,
P00020,Product_20,食品,Brand_D,2148.12,1771.05,97x39x100cm,EMP0009,2024-09-30,2024-11-20
P00021,Product_21,食品,Brand_G,4281.1,3897.74,98x76x100cm,EMP0002,2025-06-04,
P00022,Product_22,圖書,Brand_J,4295.15,3867.09,4504g,EMP0001,2024-10-11,
P00023,Product_23,美妝,Brand_F,586.26,470.55,78x54x92cm,EMP0000,2025-01-12,
P00024,Product_24,食品,Brand_J,544.53,412.49,41x60x33cm,EMP0002,2024-08-23,
P00025,Product_25,圖書,Brand_D,1387.21,1111.88,4372g,EMP0006,2024-07-14,
P00026,Product_26,服飾,Brand_D,4386.35,3976.46,12x15x22cm,EMP0002,2025-06-29,
P00027,Product_27,圖書,Brand_C,731.62,553.77,29x60x96cm,EMP0001,2024-12-26,
P00028,Product_28,美妝,Brand_C,3627.98,3015.25,25x54x78cm,EMP0009,2024-11-19,
P00029,Product_29,3C,Brand_E,595.71,537.05,74x73x67cm,EMP0006,2024-12-04,
P00030,Product_30,家居,Brand_C,3153.38,2486.03,4154g,EMP0008,2024-09-10,
P00031,Product_31,食品,Brand_C,1844.73,1587.49,33x25x52cm,EMP0003,2025-02-03,
P00032,Product_32,3C,Brand_F,3965.68,3019.5,70x85x83cm,EMP0007,2025-04-10,2025-06-16
P00033,Product_33,3C,Brand_F,1245.08,905.57,60x16x67cm,EMP0005,2024-11-28,
P00034,Product_34,食品,Brand_J,3232.09,2904.34,72x37x10cm,EMP0003,2025-02-18,
P00035,Product_35,食品,Brand_E,1254.84,909.44,49x65x25cm,EMP0008,2025-02-23,
P00036,Product_36,家居,Brand_D,3596.94,2761.89,66x30x23cm,EMP0000,2024-11-04,
P00037,Product_37,3C,Brand_H,4381.02,4003.28,4393g,EMP0005,2025-02-26,
P00038,Product_38,美妝,Brand_G,721.33,567.41,49x54x64cm,EMP0008,2024-12-23,
P00039,Product_39,食品,Brand_I,4346.32,4099.72,77x15x42cm,EMP0004,2025-02-15,
P00040,Product_40,家居,Brand_G,3008.52,2842.85,4708g,EMP0001,2025-02-14,
P00041,Product_41,家居,Brand_J,722.84,554.47,17x24x23cm,EMP0006,2024-07-13,
P00042,Product_42,美妝,Brand_B,2194.96,1558.96,61x71x17cm,EMP0009,2024-08-21,2025-07-08
P00043,Product_43,3C,Brand_A,888.22,778.32,1382g,EMP0005,2024-08-02,
P00044,Product_44,美妝,Brand_C,3531.7,2870.38,1226g,EMP0001,2025-01-27,
P00045,Product_45,食品,Brand_G,3818.45,2769.09,66x80x55cm,EMP0003,2025-02-21,
P00046,Product_46,美妝,Brand_F,618.4,542.26,1892g,EMP0002,2024-12-29,2025-05-18
P00047,Product_47,圖書,Brand_E,2580.09,1826.17,3134g,EMP0007,2024-12-26,
P00048,Product_48,圖書,Brand_H,4091.66,3754.3,22x100x70cm,EMP0000,2025-05-12,2025-07-17
P00049,Product_49,家居,Brand_J,4687.2,3443.51,24x83x50cm,EMP0003,2024-12-09,
P00050,Product_50,家居,Brand_F,2616.24,1914.64,81x43x33cm,EMP0005,2025-06-08,
P00051,Product_51,家居,Brand_J,4756.37,3538.35,4714g,EMP0003,2024-07-11,
P00052,Product_52,家居,Brand_B,2724.88,2561.57,2984g,EMP0007,2025-02-15,
P00053,Product_53,美妝,Brand_G,2031.53,1774.12,4039g,EMP0002,2025-06-13,
P00054,Product_54,美妝,Brand_I,4256.2,3832.04,16x66x71cm,EMP0003,2024-11-23,
